detector,representation,representation_device,representation_rows,representation_wall_seconds,representation_rows_per_second,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,peak_host_rss_bytes,executed_head_fits,head_fit_seconds_sum,head_fit_seconds_median,head_fit_seconds_q25,head_fit_seconds_q75,head_fit_seconds_min,head_fit_seconds_max,prediction_pipeline_wall_seconds,prediction_parallel_parts,prediction_aggregate_part_seconds,target_rows,seed_policy,comparison_boundary
hashing,frozen hashing features,cpu,,,,,,,120,218.07066210004268,1.827973250001378,1.7916877000061504,1.864528549995157,1.377252899997984,2.2917315999948187,236.48460680000426,1,236.48460680000426,79355,five independently fitted technical seeds per project,observational runtime on the recorded host; memory was not instrumented for hashing
codebert,microsoft/codebert-base@3b0952feddeffad0063f274080e3c23d75e7eb39 mean-pooled embeddings,cuda,305937.0,1521.7714090999943,201.04004988563767,368445440.0,429916160.0,3439824896.0,24,38386.43248950002,1584.1596325499995,1423.7395415749997,1811.7800838749972,938.6377606000024,2077.9803107000043,9915.957075800005,4,38511.8544156,79355,"one deterministic liblinear fit per project, copied to seed addresses [13, 37, 73, 101, 137]",four concurrent parts; critical-path and aggregate part times are reported separately and are not a hashing speedup estimate
