detector,target_group,seed,head_fit_seconds,selected_parameter,source_validation_pr_auc,technical_seed_reused,seed_reused_from,metadata_relative_path,metadata_sha256,execution_status
hashing,FreeRDP,101,1.8205368000053568,1e-05,0.15817049273740097,False,,predictions/FreeRDP/seed-101.json,87FC69F5F255890F80C7CDC975CC3757A62DA0F785CABB72B046D222C6E7EBC0,executed
hashing,FreeRDP,137,1.8260035999992397,1e-05,0.15985399508606854,False,,predictions/FreeRDP/seed-137.json,4E4B5074BE489ADA50296A639462BB9B97C7E582D72BA3305166BDF2A40333AD,executed
hashing,envoy,13,1.8585775999963516,1e-05,0.16703329277726073,False,,predictions/envoy/seed-13.json,A61B7303C83FEED7FD96768A49DE1BFCF4F1DBFE185D453AAEAFBCB4F12855D5,executed
hashing,envoy,37,1.9147901000105776,1e-05,0.15932950572185095,False,,predictions/envoy/seed-37.json,80F2FC25D7C3D2B5AB7D65ECC7F94B11F5FEA0C7EECE8B1FEA6ED2E9D5A68921,executed
hashing,envoy,73,1.8640739999973448,1e-05,0.16277577915246652,False,,predictions/envoy/seed-73.json,942CAEA5E366BFEB730546FA45AFDB0667ABFBDAC77AB57CB1BBC2A9EB5293F5,executed
hashing,envoy,101,1.836303999996744,1e-05,0.16376359690325704,False,,predictions/envoy/seed-101.json,FCB97CBEBF7954D03F2AA18901350509D4BEBDCEAD6A17980406788DE7D05C9C,executed
hashing,envoy,137,1.844170700001996,1e-05,0.16295121944203028,False,,predictions/envoy/seed-137.json,4D3D87BC814D9F1304E66C11D10C4D73C840DB2D92EC60B749FEDA77867B60F1,executed
hashing,ffmpeg,13,1.80377870000666,1e-05,0.15676867020738633,False,,predictions/ffmpeg/seed-13.json,85599EAEB0C221D00F90856815CDAFAC257333D7E16B6E3545AD5FFD533A15DE,executed
hashing,ffmpeg,37,1.8197748999955365,1e-05,0.16029525368559067,False,,predictions/ffmpeg/seed-37.json,6EC9FBF4F8E916FC8E9F47C79C4314CCF58CF1E65A19C912C9F30BCEE820A06D,executed
hashing,ffmpeg,73,1.7466267999989213,1e-05,0.15894259865599744,False,,predictions/ffmpeg/seed-73.json,83D93D09DDD5FECF4212EAF9C15429AAF75A6328C0367A3259E6E103B5AE573B,executed
hashing,ffmpeg,101,1.835040799996932,1e-05,0.15815784829849194,False,,predictions/ffmpeg/seed-101.json,2EEAA9FBE0843A8D105C1AB751C221CFF383E9DA4B51F35372E57D3A5909694D,executed
hashing,ffmpeg,137,1.893387200005236,1e-05,0.15396479335985816,False,,predictions/ffmpeg/seed-137.json,A1B52D79C05C8E609D6EC44598604F8C0822A1AE4736CB1390B742DEF20F2D51,executed
hashing,ghostpdl,13,1.8796122000057949,1e-05,0.16228914040717063,False,,predictions/ghostpdl/seed-13.json,D53B7862084E97668422AF22EEA0014CD439492D62316084F4EBC86E1976B7AE,executed
hashing,ghostpdl,37,1.795971700004884,1e-05,0.15147115686486165,False,,predictions/ghostpdl/seed-37.json,9724D5EDEBB47ED844B2F0F09882567455B6E7CC2A16390CCCCF5206901D6977,executed
hashing,ghostpdl,73,1.8320205000054557,1e-05,0.15049588617087747,False,,predictions/ghostpdl/seed-73.json,F5938DF914224CEDFE3A01040199B5D5823115D7E3E20D848DE18B74E8DA97A4,executed
hashing,ghostpdl,101,1.8175330000085523,1e-05,0.15908870960178073,False,,predictions/ghostpdl/seed-101.json,BF4B2D8CCCFDC14579F089E4A9AE3295BDFD8FAB57B3904C1A536E817934012E,executed
hashing,ghostpdl,137,1.8952449000062188,1e-05,0.1650971558997478,False,,predictions/ghostpdl/seed-137.json,EDEED3F04EC9571C545461229804173A6BC69908D8B39801995539C08D2D1F09,executed
hashing,imagemagick,13,1.7935318000090774,1e-05,0.15932624508079915,False,,predictions/imagemagick/seed-13.json,6A3D0FD49C20C8AD4C8D8103703FC161407689AA18A773C2ABACC18D2DA2E311,executed
hashing,imagemagick,37,1.6635205000056885,1e-05,0.14800184128893817,False,,predictions/imagemagick/seed-37.json,638862978326D5DB1390D17F337C6490FFD7268BB1A088D53FBC10764DCABF35,executed
hashing,imagemagick,73,1.687655999994604,1e-05,0.14864887531236598,False,,predictions/imagemagick/seed-73.json,253468A73AAA341BD131C60E6BB0E688900E7D0A31EB47B37570B09228AF3D02,executed
hashing,imagemagick,101,1.65694239998993,1e-05,0.1578462488135409,False,,predictions/imagemagick/seed-101.json,E9935149C15BC5285541798FB121576D0078EAB1C9F7D3F218324C8AB72B5DDE,executed
hashing,imagemagick,137,1.7723098999995273,1e-05,0.1552342077188537,False,,predictions/imagemagick/seed-137.json,EF6A9EF8CF0B3D54043C8334C6A5FD2D015BF73FFE6CBA9626F475EAD97E6DED,executed
hashing,jasper,13,1.8210271999996621,1e-05,0.1609060637623385,False,,predictions/jasper/seed-13.json,BDB7181AD874F2CF35002D1EC5DC9DF132FE90521CE580E9A8F6A45286DE1A0A,executed
hashing,jasper,37,1.8757122999959392,1e-05,0.15589062776367302,False,,predictions/jasper/seed-37.json,924CB9F15D6E960E204E0F38A30499EE15F9891BAEEA05691771AAC39D3B85C6,executed
hashing,jasper,73,1.7405432000086876,1e-05,0.15657044757915642,False,,predictions/jasper/seed-73.json,40AD061FB0B0175654E2A9E9167E269353DD9612C5F699946EFAECFDB8C0A09B,executed
hashing,jasper,101,1.8171791000058874,1e-05,0.16021175213933156,False,,predictions/jasper/seed-101.json,637DAB9EF4DD8174B7BC0C85AAC70A6816F0627C7B8F41304D1BDF444C73EB89,executed
hashing,jasper,137,1.8094974999985425,1e-05,0.16130877171116192,False,,predictions/jasper/seed-137.json,BA2757378F91B67D785FB132CDF44AE696CB65C5140F7BB642A6A6FE04271E4D,executed
hashing,krb5,13,1.7921588000026532,1e-05,0.15879191782711796,False,,predictions/krb5/seed-13.json,94563EC333497900B0EC645BEE5F7ACD54AEB299EF4C48A9DE7805BE563AA2FE,executed
hashing,krb5,37,1.8097710000001825,1e-05,0.16952475507796486,False,,predictions/krb5/seed-37.json,B30687CC2EFE119A7E7F0F9118755873E95E11B08BF46BEE8664D903C17714C8,executed
hashing,krb5,73,1.8476822999946307,1e-05,0.15786393965718248,False,,predictions/krb5/seed-73.json,023F89C8622E8EA2E62478F396868A582B2B1E4E8BBB3E94FC29AD4577008A4A,executed
hashing,krb5,101,1.7469533999974374,1e-05,0.15978267273118651,False,,predictions/krb5/seed-101.json,12AB10403302383259FF1E24D43D1898B4A2B088E48E413E7E7C8096EB167119,executed
hashing,krb5,137,1.8532082000019727,1e-05,0.16856432941221777,False,,predictions/krb5/seed-137.json,FBA5F1C9D8EE252604F77C3FA19D490D0AAE1912A8ED01B7F53CF5B485D69946,executed
hashing,librsvg,13,1.8864431999973021,1e-05,0.16334699206255288,False,,predictions/librsvg/seed-13.json,4219B2C1CD5B669FAF4033C230B0F6A85F201FE6B4920744FF48D0AB5DC8C4E2,executed
hashing,librsvg,37,1.8777815000066767,1e-05,0.1654092922858897,False,,predictions/librsvg/seed-37.json,B605D23B65324FCDAE6963761913DA43C49EEE839F7D3C448D76C2BC8822D4EC,executed
hashing,librsvg,73,1.8890093000081833,1e-05,0.16823135269369743,False,,predictions/librsvg/seed-73.json,B5A31754C17CDC72169953E17F115C65E0C56DB443EEF4BAADE8D0B955981BC1,executed
hashing,librsvg,101,1.8719820999976946,1e-05,0.1575618571446221,False,,predictions/librsvg/seed-101.json,8AA3130F36002230429B30054E004ABAE9651ADEAB46262D8AC0041F3E9372EF,executed
hashing,librsvg,137,1.805855700004031,1e-05,0.16919075379365148,False,,predictions/librsvg/seed-137.json,1C45B2F9DDFD3FE5051A140C56E44531C14D05F426ED3EADCC0931A7352AD112,executed
hashing,libtpms,13,1.8267559999949299,1e-05,0.15365360756737845,False,,predictions/libtpms/seed-13.json,4F71EED54EB1AF000CE71F3B87BF1CB49C66834B3035B40F27C041FA6DE54ED8,executed
hashing,libtpms,37,1.9221780999941984,1e-05,0.16360191334860652,False,,predictions/libtpms/seed-37.json,14AB9F9CE8DF098C6134ED520D8629C07670ABB0EBF8989E8FD357FB73DBD31D,executed
hashing,libtpms,73,1.8387080000102287,1e-05,0.16323289906038962,False,,predictions/libtpms/seed-73.json,FBF63219DFD84EDA421B1E2738255C23C84758528AC2AAAE466A320542EBFB7C,executed
hashing,libtpms,101,1.8379986999934772,1e-05,0.1564106286559247,False,,predictions/libtpms/seed-101.json,C896C2BC840684869F94EFA84A4B1B6BB36E267CE4C75FC7FBC8E171525931A5,executed
hashing,libtpms,137,1.9088907999976072,1e-05,0.15856908415247684,False,,predictions/libtpms/seed-137.json,A41E3D3F74CD394F3102923753DE11A97A0E6696FAFAF210FCC723543F571FDC,executed
hashing,libxml2,13,1.8513070999906631,1e-05,0.16145038152885086,False,,predictions/libxml2/seed-13.json,00FF8F5DFE5BC424BC13965D170AEFA18716F4BE80F79F84DD81838AC9D6A51F,executed
hashing,libxml2,37,1.8111741000029724,1e-05,0.1551005734256137,False,,predictions/libxml2/seed-37.json,89711A25790AB4B235C9D0D33DAD7449A429D6CAECAF01FE6851CB4F85A7335D,executed
hashing,libxml2,73,1.8846500999934506,1e-05,0.15789614408491748,False,,predictions/libxml2/seed-73.json,F945FA9B4F1BF37FCD47948814551823D555DC4C144F1F4486E93827507F030C,executed
hashing,libxml2,101,1.78787359999842,1e-05,0.1523577312318369,False,,predictions/libxml2/seed-101.json,04B0C1AA8B61619DB20E86B786CB16A8B5622D0064500A201A610E2FE018BDFB,executed
hashing,libxml2,137,1.781846099998802,1e-05,0.16293932685875037,False,,predictions/libxml2/seed-137.json,7E33151D25256F51B3B825E448C329BD765AE4EA82747E239FF87390901E8DCC,executed
