detector,fraction,method,metric,projects,median,q25,q75
codebert,0.25,estimated_weight_no_gate_clip_20,vulnerable_miscoverage,24,0.2289823490956635,0.1477798997374075,0.32523200224971877
codebert,0.25,estimated_weight_no_gate_clip_20,safe_miscoverage,24,0.18720582447855177,0.16527270049143666,0.2545590562268645
codebert,0.25,estimated_weight_no_gate_clip_20,vulnerable_violation,24,0.12898234909566353,0.04777989973740748,0.22523200224971876
codebert,0.25,estimated_weight_no_gate_clip_20,safe_violation,24,0.0,0.0,0.054559056226864494
codebert,0.25,estimated_weight_no_gate_clip_20,max_relative_violation,24,1.2898234909566353,0.6319325368012255,2.2523200224971878
codebert,0.25,estimated_weight_no_gate_clip_20,singleton_coverage,24,0.7300857219795345,0.6633549439729353,0.7594587400177462
codebert,0.25,estimated_weight_no_gate_clip_20,review_load,24,0.2699142780204655,0.24054125998225376,0.3366450560270646
codebert,0.25,estimated_weight_no_gate_clip_20,pr_auc,24,0.19275838277662577,0.14115407846153,0.2781983403143705
codebert,0.25,estimated_weight_no_gate_clip_20,brier,24,0.20306575656672493,0.1732672829938936,0.23580358104544363
codebert,0.25,unweighted_mondrian,vulnerable_miscoverage,24,0.22424305429217456,0.1417858829880559,0.3213497899159664
codebert,0.25,unweighted_mondrian,safe_miscoverage,24,0.22315066789179017,0.18018004722550177,0.28446743751344017
codebert,0.25,unweighted_mondrian,vulnerable_violation,24,0.12424305429217454,0.04178588298805587,0.22134978991596635
codebert,0.25,unweighted_mondrian,safe_violation,24,0.023150667891790138,0.0,0.08446743751344019
codebert,0.25,unweighted_mondrian,max_relative_violation,24,1.2701198548825192,0.8511274093829554,2.2134978991596634
codebert,0.25,unweighted_mondrian,singleton_coverage,24,0.7647767042270477,0.7434110033229713,0.7896099237772708
codebert,0.25,unweighted_mondrian,review_load,24,0.23522329577295228,0.21039007622272915,0.2565889966770286
codebert,0.25,unweighted_mondrian,pr_auc,24,0.19275838277662577,0.14115407846153,0.2781983403143705
codebert,0.25,unweighted_mondrian,brier,24,0.20306575656672493,0.1732672829938936,0.23580358104544363
codebert,0.25,vultriage_full_gate_clip_20,vulnerable_miscoverage,24,0.18398273682374994,0.113375644854738,0.3022438248960626
codebert,0.25,vultriage_full_gate_clip_20,safe_miscoverage,24,0.16524859732990532,0.12179374107588209,0.19458018555315681
codebert,0.25,vultriage_full_gate_clip_20,vulnerable_violation,24,0.08708618509961202,0.04142654700047236,0.2066194581280788
codebert,0.25,vultriage_full_gate_clip_20,safe_violation,24,0.0,0.0,0.014139474639304919
codebert,0.25,vultriage_full_gate_clip_20,max_relative_violation,24,0.9128371596380953,0.48106924365294773,2.0661945812807883
codebert,0.25,vultriage_full_gate_clip_20,singleton_coverage,24,0.7220503705757415,0.5682142857142858,0.7568033345322248
codebert,0.25,vultriage_full_gate_clip_20,review_load,24,0.2779496294242585,0.24319666546777519,0.4317857142857143
