detector,target_group,fraction,method,vulnerable_miscoverage,safe_miscoverage,vulnerable_violation,safe_violation,max_relative_violation,singleton_coverage,review_load,pr_auc,brier
codebert,FreeRDP,0.25,estimated_weight_no_gate_clip_20,0.4482269503546099,0.17377830750893922,0.34822695035460993,0.0,3.482269503546099,0.7608163265306122,0.23918367346938776,0.19355493694736844,0.18961072014584748
codebert,FreeRDP,0.25,unweighted_mondrian,0.524822695035461,0.15280095351609058,0.424822695035461,0.0,4.248226950354609,0.8159183673469389,0.1840816326530612,0.19355493694736844,0.18961072014584748
codebert,FreeRDP,0.25,vultriage_full_gate_clip_20,0.350354609929078,0.13921334922526818,0.270354609929078,0.0,2.70354609929078,0.6034693877551021,0.39653061224489794,0.19355493694736844,0.18961072014584748
codebert,FreeRDP,0.5,estimated_weight_no_gate_clip_20,0.44964539007092197,0.16781883194278904,0.349645390070922,0.0,3.4964539007092195,0.7624489795918368,0.23755102040816325,0.19355493694736844,0.18961072014584748
codebert,FreeRDP,0.5,unweighted_mondrian,0.5205673758865248,0.15113230035756853,0.4205673758865248,0.0,4.205673758865248,0.810204081632653,0.18979591836734694,0.19355493694736844,0.18961072014584748
codebert,FreeRDP,0.5,vultriage_full_gate_clip_20,0.44964539007092197,0.16781883194278904,0.349645390070922,0.0,3.4964539007092195,0.7624489795918368,0.23755102040816325,0.19355493694736844,0.18961072014584748
codebert,FreeRDP,0.75,estimated_weight_no_gate_clip_20,0.49645390070921985,0.16710369487485102,0.3964539007092198,0.0,3.9645390070921978,0.7993877551020409,0.20061224489795917,0.19355493694736844,0.18961072014584748
codebert,FreeRDP,0.75,unweighted_mondrian,0.526241134751773,0.15113230035756853,0.42624113475177305,0.0,4.26241134751773,0.810204081632653,0.18979591836734694,0.19355493694736844,0.18961072014584748
codebert,FreeRDP,0.75,vultriage_full_gate_clip_20,0.49645390070921985,0.16710369487485102,0.3964539007092198,0.0,3.9645390070921978,0.7993877551020409,0.20061224489795917,0.19355493694736844,0.18961072014584748
codebert,FreeRDP,1.0,estimated_weight_no_gate_clip_20,0.5035460992907801,0.166865315852205,0.4035460992907801,0.0,4.035460992907801,0.7969387755102041,0.2030612244897959,0.19355493694736844,0.18961072014584748
codebert,FreeRDP,1.0,unweighted_mondrian,0.5319148936170213,0.15137067938021453,0.43191489361702134,0.0,4.319148936170213,0.8142857142857143,0.18571428571428572,0.19355493694736844,0.18961072014584748
codebert,FreeRDP,1.0,vultriage_full_gate_clip_20,0.5035460992907801,0.166865315852205,0.4035460992907801,0.0,4.035460992907801,0.7969387755102041,0.2030612244897959,0.19355493694736844,0.18961072014584748
codebert,envoy,0.25,estimated_weight_no_gate_clip_20,0.3110236220472441,0.2665066026410564,0.21102362204724406,0.0665066026410564,2.1102362204724407,0.6531987814166033,0.3468012185833968,0.07579686146103673,0.1926308476218194
codebert,envoy,0.25,unweighted_mondrian,0.4196850393700787,0.21052420968387356,0.31968503937007875,0.010524209683873543,3.196850393700787,0.723115003808073,0.27688499619192686,0.07579686146103673,0.1926308476218194
codebert,envoy,0.25,vultriage_full_gate_clip_20,0.11496062992125985,0.10576230492196878,0.07496062992125985,0.025762304921968782,0.7496062992125984,0.25038080731150036,0.7496191926884995,0.07579686146103673,0.1926308476218194
codebert,envoy,0.5,estimated_weight_no_gate_clip_20,0.30866141732283464,0.26254501800720287,0.20866141732283464,0.06254501800720286,2.0866141732283463,0.6554074638233054,0.3445925361766946,0.07579686146103673,0.1926308476218194
codebert,envoy,0.5,unweighted_mondrian,0.41653543307086616,0.20952380952380953,0.3165354330708661,0.009523809523809518,3.1653543307086607,0.715879664889566,0.2841203351104341,0.07579686146103673,0.1926308476218194
codebert,envoy,0.5,vultriage_full_gate_clip_20,0.30866141732283464,0.26254501800720287,0.20866141732283464,0.06254501800720286,2.0866141732283463,0.6554074638233054,0.3445925361766946,0.07579686146103673,0.1926308476218194
codebert,envoy,0.75,estimated_weight_no_gate_clip_20,0.28503937007874014,0.2633453381352541,0.18503937007874016,0.06334533813525409,1.8503937007874014,0.623000761614623,0.376999238385377,0.07579686146103673,0.1926308476218194
codebert,envoy,0.75,unweighted_mondrian,0.4267716535433071,0.20948379351740698,0.3267716535433071,0.009483793517406964,3.267716535433071,0.7246763137852247,0.2753236862147753,0.07579686146103673,0.1926308476218194
codebert,envoy,0.75,vultriage_full_gate_clip_20,0.28503937007874014,0.2633453381352541,0.18503937007874016,0.06334533813525409,1.8503937007874014,0.623000761614623,0.376999238385377,0.07579686146103673,0.1926308476218194
