detector,target_group,alpha_vulnerable,alpha_safe,method,max_relative_violation,vulnerable_violation,safe_violation,singleton_coverage,review_load
codebert,FreeRDP,0.05,0.1,estimated_weight_no_gate_clip_20,5.382978723404255,0.2691489361702128,0.0,0.5520408163265306,0.44795918367346943
codebert,FreeRDP,0.05,0.1,estimated_weight_no_gate_clip_50,5.382978723404255,0.2691489361702128,0.0,0.5520408163265306,0.44795918367346943
codebert,FreeRDP,0.05,0.1,forced_argmax,11.624113475177303,0.5812056737588652,0.1228843861740166,1.0,0.0
codebert,FreeRDP,0.05,0.1,msp_matched_unweighted_mondrian,6.375886524822694,0.3187943262411347,0.0,0.5704081632653061,0.4295918367346938
codebert,FreeRDP,0.05,0.1,msp_matched_vultriage_full_gate,6.23404255319149,0.3117021276595745,0.0,0.5520408163265306,0.44795918367346943
codebert,FreeRDP,0.05,0.1,pooled_split_conformal,5.808510638297872,0.2904255319148936,0.0,0.5265306122448979,0.47346938775510206
codebert,FreeRDP,0.05,0.1,prom_derived_aps,1.127659574468085,0.0563829787234042,0.0,0.17918367346938768,0.8208163265306123
codebert,FreeRDP,0.05,0.1,prom_derived_lac,5.808510638297872,0.2904255319148936,0.0,0.5265306122448979,0.47346938775510206
codebert,FreeRDP,0.05,0.1,prom_derived_raps,1.127659574468085,0.0563829787234042,0.0,0.176938775510204,0.8230612244897959
codebert,FreeRDP,0.05,0.1,prom_derived_topk,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.05,0.1,prom_derived_union,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.05,0.1,temperature_msp_matched_unweighted_mondrian,6.375886524822694,0.3187943262411347,0.0,0.5704081632653061,0.4295918367346938
codebert,FreeRDP,0.05,0.1,temperature_msp_matched_vultriage_full_gate,6.23404255319149,0.3117021276595745,0.0,0.5520408163265306,0.44795918367346943
codebert,FreeRDP,0.05,0.1,unweighted_mondrian,5.5248226950354615,0.2762411347517731,0.0,0.5704081632653061,0.4295918367346938
codebert,FreeRDP,0.05,0.1,vultriage_ess_only_clip_10,5.382978723404255,0.2691489361702128,0.0,0.5520408163265306,0.44795918367346943
codebert,FreeRDP,0.05,0.1,vultriage_ess_only_clip_20,5.382978723404255,0.2691489361702128,0.0,0.5520408163265306,0.44795918367346943
codebert,FreeRDP,0.05,0.1,vultriage_ess_only_clip_50,5.382978723404255,0.2691489361702128,0.0,0.5520408163265306,0.44795918367346943
codebert,FreeRDP,0.05,0.1,vultriage_full_gate_clip_10,5.382978723404255,0.2691489361702128,0.0,0.5520408163265306,0.44795918367346943
codebert,FreeRDP,0.05,0.1,vultriage_full_gate_clip_20,5.382978723404255,0.2691489361702128,0.0,0.5520408163265306,0.44795918367346943
codebert,FreeRDP,0.05,0.1,vultriage_full_gate_clip_50,5.382978723404255,0.2691489361702128,0.0,0.5520408163265306,0.44795918367346943
codebert,FreeRDP,0.05,0.1,vultriage_infinity_only_clip_10,5.382978723404255,0.2691489361702128,0.0,0.5520408163265306,0.44795918367346943
codebert,FreeRDP,0.05,0.1,vultriage_infinity_only_clip_20,5.382978723404255,0.2691489361702128,0.0,0.5520408163265306,0.44795918367346943
codebert,FreeRDP,0.05,0.1,vultriage_infinity_only_clip_50,5.382978723404255,0.2691489361702128,0.0,0.5520408163265306,0.44795918367346943
codebert,FreeRDP,0.05,0.2,entropy_matched_unweighted_mondrian,7.794326241134752,0.3897163120567376,0.0,0.639795918367347,0.360204081632653
codebert,FreeRDP,0.05,0.2,estimated_weight_no_gate_clip_10,5.382978723404255,0.2691489361702128,0.0,0.6408163265306123,0.3591836734693877
codebert,FreeRDP,0.05,0.2,estimated_weight_no_gate_clip_20,5.382978723404255,0.2691489361702128,0.0,0.6408163265306123,0.3591836734693877
codebert,FreeRDP,0.05,0.2,estimated_weight_no_gate_clip_50,5.382978723404255,0.2691489361702128,0.0,0.6408163265306123,0.3591836734693877
codebert,FreeRDP,0.05,0.2,forced_argmax,11.624113475177303,0.5812056737588652,0.0228843861740166,1.0,0.0
codebert,FreeRDP,0.05,0.2,msp_matched_unweighted_mondrian,7.794326241134752,0.3897163120567376,0.0,0.639795918367347,0.360204081632653
codebert,FreeRDP,0.05,0.2,msp_matched_vultriage_full_gate,7.794326241134752,0.3897163120567376,0.0,0.6408163265306123,0.3591836734693877
codebert,FreeRDP,0.05,0.2,pooled_split_conformal,5.808510638297872,0.2904255319148936,0.0,0.5265306122448979,0.47346938775510206
codebert,FreeRDP,0.05,0.2,prom_derived_aps,1.127659574468085,0.0563829787234042,0.0,0.17918367346938768,0.8208163265306123
codebert,FreeRDP,0.05,0.2,prom_derived_lac,5.808510638297872,0.2904255319148936,0.0,0.5265306122448979,0.47346938775510206
codebert,FreeRDP,0.05,0.2,prom_derived_raps,1.127659574468085,0.0563829787234042,0.0,0.176938775510204,0.8230612244897959
codebert,FreeRDP,0.05,0.2,prom_derived_topk,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.05,0.2,prom_derived_union,0.0,0.0,0.0,0.0,1.0
codebert,FreeRDP,0.05,0.2,temperature_msp_matched_unweighted_mondrian,7.794326241134752,0.3897163120567376,0.0,0.639795918367347,0.360204081632653
codebert,FreeRDP,0.05,0.2,temperature_msp_matched_vultriage_full_gate,7.794326241134752,0.3897163120567376,0.0,0.6408163265306123,0.3591836734693877
codebert,FreeRDP,0.05,0.2,unweighted_mondrian,5.5248226950354615,0.2762411347517731,0.0,0.639795918367347,0.360204081632653
codebert,FreeRDP,0.05,0.2,vultriage_ess_only_clip_10,5.382978723404255,0.2691489361702128,0.0,0.6408163265306123,0.3591836734693877
codebert,FreeRDP,0.05,0.2,vultriage_ess_only_clip_20,5.382978723404255,0.2691489361702128,0.0,0.6408163265306123,0.3591836734693877
codebert,FreeRDP,0.05,0.2,vultriage_ess_only_clip_50,5.382978723404255,0.2691489361702128,0.0,0.6408163265306123,0.3591836734693877
codebert,FreeRDP,0.05,0.2,vultriage_full_gate_clip_10,5.382978723404255,0.2691489361702128,0.0,0.6408163265306123,0.3591836734693877
codebert,FreeRDP,0.05,0.2,vultriage_full_gate_clip_20,5.382978723404255,0.2691489361702128,0.0,0.6408163265306123,0.3591836734693877
codebert,FreeRDP,0.05,0.2,vultriage_full_gate_clip_50,5.382978723404255,0.2691489361702128,0.0,0.6408163265306123,0.3591836734693877
codebert,FreeRDP,0.05,0.2,vultriage_infinity_only_clip_10,5.382978723404255,0.2691489361702128,0.0,0.6408163265306123,0.3591836734693877
codebert,FreeRDP,0.05,0.2,vultriage_infinity_only_clip_20,5.382978723404255,0.2691489361702128,0.0,0.6408163265306123,0.3591836734693877
codebert,FreeRDP,0.05,0.2,vultriage_infinity_only_clip_50,5.382978723404255,0.2691489361702128,0.0,0.6408163265306123,0.3591836734693877
codebert,FreeRDP,0.1,0.05,entropy_matched_unweighted_mondrian,3.893617021276595,0.3893617021276595,0.0382002383790226,0.6928571428571428,0.3071428571428571
codebert,FreeRDP,0.1,0.05,estimated_weight_no_gate_clip_10,4.035460992907801,0.4035460992907801,0.0,0.6540816326530612,0.3459183673469387
codebert,FreeRDP,0.1,0.05,estimated_weight_no_gate_clip_20,4.035460992907801,0.4035460992907801,0.0,0.6540816326530612,0.3459183673469387
