detector,target_group,pr_auc,brier,ece_equal_mass_15,aurc,fnr_at_fpr_0_005,error_detection_auroc,precision,recall,f1,f2,mcc
codebert,FreeRDP,0.1935549369473684,0.1896107201458474,0.1855728227438165,0.1591897174517998,1.0,0.70702867671278,0.21757322175732216,0.3687943262411347,0.2736842105263158,0.323785803237858,0.1192524640362004
codebert,envoy,0.0757968614610367,0.1926308476218194,0.2960559197499419,0.1585631809188246,0.9685039370078738,0.7350652941086231,0.0577639751552795,0.3661417322834646,0.0997854077253218,0.177075399847677,0.029137171074205097
codebert,ffmpeg,0.227432034794467,0.3057390262864927,0.407528276565425,0.3969365358539865,0.9652173913043478,0.5633651056775798,0.1762589928057553,0.8521739130434781,0.2921013412816691,0.48228346456692905,0.21042845269844118
codebert,ghostpdl,0.1919618286058831,0.20581296863461826,0.2833524103344152,0.1799449679261334,0.9724770642201834,0.7061293341213555,0.1703703703703703,0.6330275229357798,0.2684824902723735,0.4102259215219976,0.1874391310523673
codebert,imagemagick,0.512426887316682,0.2736418284487547,0.2227542505727868,0.2987242265545504,0.9933333333333332,0.6216778251166566,0.4816326530612245,0.7866666666666666,0.5974683544303797,0.6982248520710059,0.2619918995816652
codebert,jasper,0.494932013971266,0.23375411249868963,0.1655745796616477,0.2651326757445609,1.0,0.6608350586611457,0.45631067961165056,0.6945812807881774,0.5507812500000001,0.6289027653880465,0.2639103079984747
codebert,krb5,0.3677214541236435,0.272819844716769,0.2782676077671652,0.3181509899022962,0.9915254237288135,0.6164014934912039,0.3173431734317343,0.7288135593220338,0.44215938303341884,0.5787348586810228,0.2000542174154723
codebert,librsvg,0.1415298816055776,0.2248207512365062,0.2323324200954399,0.199920158900733,1.0,0.7141080432172869,0.1134020618556701,0.23157894736842097,0.1522491349480969,0.1916376306620208,-0.0519548744698982
codebert,libtpms,0.2636972050516083,0.2419519866857056,0.2189191259880911,0.3072848602064758,0.9908256880733946,0.5999582056283087,0.2571428571428571,0.4128440366972477,0.3169014084507042,0.3682487725040917,0.0621780262689194
codebert,libxml2,0.140026669029387,0.2855308363820422,0.4092121299235851,0.3214124176626725,0.9926470588235293,0.6328233960948396,0.1057692307692307,0.8088235294117647,0.1870748299319728,0.3472222222222222,0.1616392807184002
codebert,linux,0.1663390930375402,0.1509423573582843,0.183512649286071,0.0988837592601309,0.9815303430079156,0.7707534170438065,0.1769024424678808,0.4132585751978891,0.24775086505190308,0.3261152464733746,0.1535856399162124
codebert,mongo,0.1005178309624016,0.1528505386676611,0.253352203351479,0.0967644232611602,1.0,0.7810703443696043,0.0945736434108527,0.5446428571428571,0.1611624834874504,0.2790484903934127,0.1466585978359779
codebert,mysql-server,0.119666094705844,0.1696061349212839,0.2776993794817894,0.108623568887015,0.9577464788732396,0.7824537939850374,0.093167701863354,0.7394366197183099,0.1654846335697399,0.3097345132743363,0.1918627913166943
codebert,net,0.1658640857997554,0.1689420805661108,0.2739611864674977,0.11579866951931558,0.9827586206896551,0.7687369786907416,0.1478102189781022,0.6982758620689655,0.2439759036144578,0.40019762845849793,0.2252641838079072
codebert,openssl,0.275279700770169,0.2003185444988315,0.2405991815433987,0.1580389320430816,0.9734513274336283,0.7294697523263022,0.24229346485819966,0.695575221238938,0.3593964334705075,0.5061823802163833,0.2579232302165299
codebert,php,0.2478950530758564,0.1443701284499895,0.1921649800107999,0.0875533738945195,0.971671388101983,0.7619974062664308,0.2533013205282113,0.5977337110481586,0.3558178752107925,0.4699331848552338,0.2861531656586031
codebert,postgres,0.1650360631174968,0.1993358049619132,0.3011642029726417,0.1520950330446169,0.9545454545454547,0.761408286183124,0.11783783783783779,0.7077922077922078,0.2020389249304912,0.3536664503569111,0.1847496269864599
codebert,qemu,0.2274690243464522,0.1744876656847635,0.1888979583772119,0.1297665837529259,0.9792899408284024,0.7420231173990566,0.22901849217638687,0.47633136094674555,0.3093179634966378,0.3917274939172749,0.1816655543717346
codebert,qpdf,0.2869542589469749,0.1628332977718188,0.140825236276483,0.1014433050100765,0.9889705882352942,0.7702292955069309,0.3115124153498871,0.5073529411764706,0.3860139860139859,0.45068582625734804,0.2544994015635637
codebert,radare2,0.1713428148632935,0.20893628569394532,0.2632065126386771,0.1802065258301047,0.976190476190476,0.7116653026688121,0.1684587813620071,0.5595238095238095,0.2589531680440771,0.3821138211382114,0.1527320154023917
codebert,samba,0.1231341167968549,0.1856392785767393,0.2794270732397074,0.139222177103107,0.9914529914529917,0.7517375244157933,0.10823909531502421,0.5726495726495726,0.1820652173913043,0.3081876724931003,0.1392810287431656
codebert,tcpdump,0.5696275881080275,0.2727631836912537,0.1650794197761672,0.385461302628362,0.985645933014354,0.5531004989308624,0.5523012552301255,0.631578947368421,0.5892857142857142,0.613953488372093,0.1439410272833297
codebert,tensorflow,0.3387398974151671,0.21139764713926193,0.2365179776218887,0.1709780477706696,0.9611872146118723,0.7208316176138274,0.293369663941871,0.7374429223744292,0.419753086419753,0.5660708026638627,0.2931699765141257
codebert,vim,0.1048685892920104,0.212640936299291,0.3210326913080928,0.1800457242212633,0.9568965517241381,0.7066980935888689,0.0715667311411992,0.6379310344827587,0.128695652173913,0.246995994659546,0.1257682482460231
hashing,FreeRDP,0.17291012556497914,0.1983963908453205,0.17720674538792452,0.17694940006800167,1.0,0.6681641935917833,0.1703250274715126,0.251063829787234,0.2027581148559042,0.2291402651821323,0.03911517943572178
hashing,envoy,0.08877086757946032,0.08963595589656978,0.12805959439062917,0.049187019435619,0.9708661417322835,0.7352273676282124,0.11805978509469277,0.18031496062992122,0.14209701461784577,0.16255128353980114,0.09125577424375671
hashing,ffmpeg,0.18685101368919727,0.29798652525661146,0.36287085730374036,0.35489668029992966,0.9878260869565217,0.5881380605436201,0.1701121454264232,0.711304347826087,0.27447188732911026,0.4344806337638706,0.16150497958256443
hashing,ghostpdl,0.18447960221288184,0.20309615467544323,0.25918657102972975,0.20411125256267143,0.9779816513761468,0.6299826222394149,0.17912330859102116,0.5357798165137615,0.2682789135055918,0.3827983562520637,0.17819259821281014
hashing,imagemagick,0.5492966338752726,0.2551903324507373,0.19473082289351845,0.24865257864931337,0.9893333333333333,0.6339736926194165,0.5280469396360954,0.658,0.5847714832703709,0.626239455761893,0.2839797856867487
hashing,jasper,0.49557411596691886,0.23455063329957387,0.16858685926096145,0.23514192370631148,0.994088669950739,0.6290168460820766,0.5020480505819797,0.470935960591133,0.4851006135900156,0.47629208789332467,0.23949109750562073
hashing,krb5,0.30115192706391924,0.2707075826711609,0.2268030248558653,0.31496121069828675,0.9932203389830508,0.5897569793586321,0.2914094487165205,0.4525423728813559,0.3532186638940854,0.40618252297147606,0.0941633548182528
hashing,librsvg,0.12882677290459682,0.22283384005525447,0.24829801140443433,0.24299504412694017,1.0,0.6127102389472515,0.12300855593706535,0.19999999999999996,0.15176950779580856,0.1771860301961235,-0.02790661058689504
hashing,libtpms,0.3148527430307252,0.20403249132870166,0.16958783490896906,0.26551238316314213,1.0,0.6323012101425965,0.33072156115294205,0.36330275229357795,0.3423989842301432,0.35365635249619853,0.14822748085242377
hashing,libxml2,0.17821512103360215,0.30486353108687786,0.40790692585621036,0.4008076831001393,0.9823529411764707,0.547396197638355,0.10960055599888452,0.7661764705882353,0.19158854489541235,0.34787321590635994,0.16208813790308824
hashing,linux,0.15554576188573305,0.1361348756348181,0.13654015501520816,0.08501972143803793,0.9817941952506597,0.7502488941183032,0.17505270490602312,0.27229551451187334,0.2130051409670221,0.24497136074846831,0.1172784862339719
hashing,mongo,0.10467394838509385,0.09667483192805885,0.1604963384914968,0.04588756071869316,0.9642857142857142,0.776430453227514,0.12367311816840867,0.3017857142857142,0.17512432394402247,0.2337959980666111,0.13615537355772983
hashing,mysql-server,0.10513298901693027,0.1350385304686137,0.19956864440798974,0.06979750381426318,0.9901408450704224,0.7915794875860065,0.1079366343091223,0.5830985915492958,0.18212159327725266,0.30998043728552765,0.18786478256867134
hashing,net,0.21449457486246168,0.18048540403560243,0.2636524063020299,0.14917605535510559,0.9741379310344828,0.6853194721689922,0.16336668152053352,0.7155172413793103,0.26586697568498907,0.42657432184085103,0.2531322945493595
hashing,openssl,0.29354063348694837,0.2624996379882007,0.30632515758202444,0.2897299116254285,0.975929203539823,0.5977398111430465,0.22580306531093478,0.7132743362831858,0.3429839648731881,0.49811393095251366,0.2380477856248852
hashing,php,0.21936273451489777,0.1681757372812012,0.20868881104286094,0.1331942875928961,0.9784702549575071,0.6969731515362116,0.21802797059148377,0.5416430594900851,0.31082844357819556,0.4175363045811086,0.2285936968446602
hashing,postgres,0.14863700469835653,0.17910157381476557,0.25147191731298546,0.13718316370888278,0.9623376623376624,0.7320935905888937,0.1295332168082459,0.6064935064935065,0.21341194846601086,0.3491063985246329,0.18469811285244128
hashing,qemu,0.2251417135224675,0.15201285366124903,0.1275150949515076,0.10027622736182765,0.9745562130177514,0.724552578971984,0.2443377213488076,0.29585798816568043,0.26722667040809905,0.28356231764247614,0.14859847638817686
hashing,qpdf,0.2916036286681939,0.1691449588315193,0.14267226811185524,0.12265261485519514,0.9772058823529411,0.7159405990442129,0.3137431667572391,0.4749999999999999,0.3774444172229137,0.4302983626765169,0.2455894420698983
hashing,radare2,0.18974891566730645,0.20911411387563286,0.24641514061339867,0.19471132460054416,0.9773809523809524,0.6729013278428523,0.18044473502494457,0.5392857142857143,0.27017406587263026,0.3853928135883285,0.16758257105372412
