detector,alpha_vulnerable,alpha_safe,baseline,method,outcome,projects,nonzero_projects,median_paired_difference,hodges_lehmann_paired_shift,bootstrap_median_ci_lower,bootstrap_median_ci_upper,wins,ties,losses,exact_sign_p,wilcoxon_exact_p,holm_adjusted_wilcoxon_p
codebert,0.01,0.05,unweighted_mondrian,prom_derived_union,review_load,24,24,0.2186488929849671,0.22543588484472116,0.1940015186028854,0.2535223855268094,0,0,24,1.1920928955078125e-07,1.1920928955078125e-07,5.960464477539062e-07
codebert,0.01,0.1,unweighted_mondrian,estimated_weight_no_gate_clip_20,max_relative_violation,24,17,0.0,-0.34246575342465746,-0.777479892761394,0.0,11,7,6,0.332305908203125,0.5790557861328125,1.0
codebert,0.01,0.1,unweighted_mondrian,estimated_weight_no_gate_clip_20,vulnerable_violation,24,14,0.0,0.0,-0.0053097345132743015,0.0,8,10,6,0.79052734375,0.855224609375,1.0
codebert,0.01,0.1,unweighted_mondrian,estimated_weight_no_gate_clip_20,safe_violation,24,13,-0.0012239902080783509,-0.00998613037447985,-0.019205002233139805,0.0,12,11,1,0.00341796875,0.001220703125,0.00244140625
codebert,0.01,0.1,unweighted_mondrian,estimated_weight_no_gate_clip_20,singleton_coverage,24,24,-0.0309448641334987,-0.03916329066891992,-0.05976839745984319,-0.01580826109128003,6,0,18,0.022655844688415527,0.013779282569885254,0.03152346611022949
codebert,0.01,0.1,unweighted_mondrian,estimated_weight_no_gate_clip_20,review_load,24,24,0.030944864133498617,0.03916329066891988,0.015808261091279863,0.05976839745984308,6,0,18,0.022655844688415527,0.013779282569885254,0.03152346611022949
codebert,0.01,0.1,unweighted_mondrian,vultriage_ess_only_clip_20,max_relative_violation,24,18,-0.6514314261245464,-0.7105285536113449,-1.3648648648648647,0.0,13,6,5,0.09625244140625,0.11870574951171875,0.474822998046875
codebert,0.01,0.1,unweighted_mondrian,vultriage_ess_only_clip_20,vulnerable_violation,24,15,0.0,-0.00427350427350425,-0.0094805194805194,0.0,10,9,5,0.30175781249999994,0.207763671875,0.8310546875
codebert,0.01,0.1,unweighted_mondrian,vultriage_ess_only_clip_20,safe_violation,24,12,-0.0018084066471163,-0.0166666666666667,-0.0223990208078335,0.0,12,12,0,0.00048828125,0.00048828125,0.00244140625
codebert,0.01,0.1,unweighted_mondrian,vultriage_ess_only_clip_20,singleton_coverage,24,24,-0.05456704420898796,-0.12841406865014562,-0.2353389185072353,-0.021381578947368363,5,0,19,0.006610751152038574,0.0005675554275512695,0.002270221710205078
