target_group,alpha_vulnerable,alpha_safe,vulnerable_violation,safe_violation,raw_singleton_coverage,total_ess,safe_ess,vulnerable_ess,domain_auroc,lower_clipping_fraction,upper_clipping_fraction,maximum_infinity_mass,p99_infinity_mass,log1p_total_ess,log1p_safe_ess,log1p_vulnerable_ess,relative_violation,severe_violation,crossfit_severe_probability,crossfit_gate_pass,crossfit_predicted_severe
chrome,0.01,0.05,1.0050251256281396e-05,0.0,0.041242478451780716,6082.743421110458,5950.277056180771,189.66426491170256,0.981175358689887,0.3132096557890031,0.000424675905230219,0.07744613725782508,0.07744613725782508,8.713375479759852,8.691361106800562,5.250514106015405,0.0010050251256281395,0,0.9402170584682548,False,True
chrome,0.01,0.1,1.0050251256281396e-05,0.0,0.0816067653276955,6082.743421110458,5950.277056180771,189.66426491170256,0.981175358689887,0.3132096557890031,0.000424675905230219,0.07744613725782508,0.07744613725782508,8.713375479759852,8.691361106800562,5.250514106015405,0.0010050251256281395,0,0.9402170584682548,False,True
chrome,0.01,0.2,1.0050251256281396e-05,0.0,0.18346614625684388,6082.743421110458,5950.277056180771,189.66426491170256,0.981175358689887,0.3132096557890031,0.000424675905230219,0.07744613725782508,0.07744613725782508,8.713375479759852,8.691361106800562,5.250514106015405,0.0010050251256281395,0,0.9402170584682548,False,True
chrome,0.05,0.05,0.006783919597989881,0.0,0.226118067978533,6082.743421110458,5950.277056180771,189.66426491170256,0.981175358689887,0.3132096557890031,0.000424675905230219,0.07744613725782508,0.07744613725782508,8.713375479759852,8.691361106800562,5.250514106015405,0.1356783919597976,0,0.9402170584682548,False,True
chrome,0.05,0.1,0.006783919597989881,0.0,0.2664823548544478,6082.743421110458,5950.277056180771,189.66426491170256,0.981175358689887,0.3132096557890031,0.000424675905230219,0.07744613725782508,0.07744613725782508,8.713375479759852,8.691361106800562,5.250514106015405,0.1356783919597976,0,0.9402170584682548,False,True
chrome,0.05,0.2,0.006783919597989881,0.0,0.3683417357835962,6082.743421110458,5950.277056180771,189.66426491170256,0.981175358689887,0.3132096557890031,0.000424675905230219,0.07744613725782508,0.07744613725782508,8.713375479759852,8.691361106800562,5.250514106015405,0.1356783919597976,0,0.9402170584682548,False,True
chrome,0.1,0.05,0.02110552763819088,0.0,0.4295549411828482,6082.743421110458,5950.277056180771,189.66426491170256,0.981175358689887,0.3132096557890031,0.000424675905230219,0.07744613725782508,0.07744613725782508,8.713375479759852,8.691361106800562,5.250514106015405,0.2110552763819088,0,0.9402170584682548,False,True
chrome,0.1,0.1,0.02110552763819088,0.0,0.46991922805876285,6082.743421110458,5950.277056180771,189.66426491170256,0.981175358689887,0.3132096557890031,0.000424675905230219,0.07744613725782508,0.07744613725782508,8.713375479759852,8.691361106800562,5.250514106015405,0.2110552763819088,0,0.9402170584682548,False,True
chrome,0.1,0.2,0.02110552763819088,0.0,0.5717786089879113,6082.743421110458,5950.277056180771,189.66426491170256,0.981175358689887,0.3132096557890031,0.000424675905230219,0.07744613725782508,0.07744613725782508,8.713375479759852,8.691361106800562,5.250514106015405,0.2110552763819088,0,0.9402170584682548,False,True
ffmpeg,0.01,0.05,0.0,0.00297456690011056,0.07212420606916017,6176.248174377446,5951.052676084663,229.89354500339016,0.9918717500886198,0.3283535114039321,0.00010491197884974506,0.05480709985018447,0.05480709985018447,8.728628172058553,8.691491426622399,5.441956760159329,0.059491338002211194,0,0.6632379248523067,False,True
ffmpeg,0.01,0.1,0.0,0.017287136011795,0.14742413549752995,6176.248174377446,5951.052676084663,229.89354500339016,0.9918717500886198,0.3283535114039321,0.00010491197884974506,0.05480709985018447,0.05480709985018447,8.728628172058553,8.691491426622399,5.441956760159329,0.17287136011794998,0,0.6632379248523067,False,True
ffmpeg,0.01,0.2,0.0,0.05735348322889786,0.291531404375441,6176.248174377446,5951.052676084663,229.89354500339016,0.9918717500886198,0.3283535114039321,0.00010491197884974506,0.05480709985018447,0.05480709985018447,8.728628172058553,8.691491426622399,5.441956760159329,0.2867674161444893,0,0.6632379248523067,False,True
ffmpeg,0.05,0.05,0.0,0.00297456690011056,0.1830628087508821,6176.248174377446,5951.052676084663,229.89354500339016,0.9918717500886198,0.3283535114039321,0.00010491197884974506,0.05480709985018447,0.05480709985018447,8.728628172058553,8.691491426622399,5.441956760159329,0.059491338002211194,0,0.6632379248523067,False,True
ffmpeg,0.05,0.1,0.0,0.017287136011795,0.2583627381792519,6176.248174377446,5951.052676084663,229.89354500339016,0.9918717500886198,0.3283535114039321,0.00010491197884974506,0.05480709985018447,0.05480709985018447,8.728628172058553,8.691491426622399,5.441956760159329,0.17287136011794998,0,0.6632379248523067,False,True
ffmpeg,0.05,0.2,0.0,0.05735348322889786,0.40247000705716307,6176.248174377446,5951.052676084663,229.89354500339016,0.9918717500886198,0.3283535114039321,0.00010491197884974506,0.05480709985018447,0.05480709985018447,8.728628172058553,8.691491426622399,5.441956760159329,0.2867674161444893,0,0.6632379248523067,False,True
ffmpeg,0.1,0.05,0.0,0.00297456690011056,0.3570218772053634,6176.248174377446,5951.052676084663,229.89354500339016,0.9918717500886198,0.3283535114039321,0.00010491197884974506,0.05480709985018447,0.05480709985018447,8.728628172058553,8.691491426622399,5.441956760159329,0.059491338002211194,0,0.6632379248523067,False,True
ffmpeg,0.1,0.1,0.0,0.017287136011795,0.43232180663373326,6176.248174377446,5951.052676084663,229.89354500339016,0.9918717500886198,0.3283535114039321,0.00010491197884974506,0.05480709985018447,0.05480709985018447,8.728628172058553,8.691491426622399,5.441956760159329,0.17287136011794998,0,0.6632379248523067,False,True
ffmpeg,0.1,0.2,0.0,0.05735348322889786,0.5764290755116444,6176.248174377446,5951.052676084663,229.89354500339016,0.9918717500886198,0.3283535114039321,0.00010491197884974506,0.05480709985018447,0.05480709985018447,8.728628172058553,8.691491426622399,5.441956760159329,0.2867674161444893,0,0.6632379248523067,False,True
gpac,0.01,0.05,0.0,0.0,0.0317122593718338,4637.0207506042725,4410.931315521029,563.8055308270028,0.9974683798123385,0.42152674005009155,0.00012628122829541388,0.12292017194269353,0.12292017194269353,8.442042991846924,8.39206781260059,6.336481478671813,0.0,0,0.24429615240321612,True,False
gpac,0.01,0.1,0.0,0.0,0.06984126984126979,4637.0207506042725,4410.931315521029,563.8055308270028,0.9974683798123385,0.42152674005009155,0.00012628122829541388,0.12292017194269353,0.12292017194269353,8.442042991846924,8.39206781260059,6.336481478671813,0.0,0,0.24429615240321612,True,False
gpac,0.01,0.2,0.0,0.0,0.17467071935157036,4637.0207506042725,4410.931315521029,563.8055308270028,0.9974683798123385,0.42152674005009155,0.00012628122829541388,0.12292017194269353,0.12292017194269353,8.442042991846924,8.39206781260059,6.336481478671813,0.0,0,0.24429615240321612,True,False
gpac,0.05,0.05,0.0,0.0,0.07210401891252947,4637.0207506042725,4410.931315521029,563.8055308270028,0.9974683798123385,0.42152674005009155,0.00012628122829541388,0.12292017194269353,0.12292017194269353,8.442042991846924,8.39206781260059,6.336481478671813,0.0,0,0.24429615240321612,True,False
gpac,0.05,0.1,0.0,0.0,0.11023302938196552,4637.0207506042725,4410.931315521029,563.8055308270028,0.9974683798123385,0.42152674005009155,0.00012628122829541388,0.12292017194269353,0.12292017194269353,8.442042991846924,8.39206781260059,6.336481478671813,0.0,0,0.24429615240321612,True,False
gpac,0.05,0.2,0.0,0.0,0.21506247889226607,4637.0207506042725,4410.931315521029,563.8055308270028,0.9974683798123385,0.42152674005009155,0.00012628122829541388,0.12292017194269353,0.12292017194269353,8.442042991846924,8.39206781260059,6.336481478671813,0.0,0,0.24429615240321612,True,False
gpac,0.1,0.05,0.0,0.0,0.12752448497129346,4637.0207506042725,4410.931315521029,563.8055308270028,0.9974683798123385,0.42152674005009155,0.00012628122829541388,0.12292017194269353,0.12292017194269353,8.442042991846924,8.39206781260059,6.336481478671813,0.0,0,0.24429615240321612,True,False
gpac,0.1,0.1,0.0,0.0,0.16565349544072944,4637.0207506042725,4410.931315521029,563.8055308270028,0.9974683798123385,0.42152674005009155,0.00012628122829541388,0.12292017194269353,0.12292017194269353,8.442042991846924,8.39206781260059,6.336481478671813,0.0,0,0.24429615240321612,True,False
gpac,0.1,0.2,0.0,0.0,0.27048294495103004,4637.0207506042725,4410.931315521029,563.8055308270028,0.9974683798123385,0.42152674005009155,0.00012628122829541388,0.12292017194269353,0.12292017194269353,8.442042991846924,8.39206781260059,6.336481478671813,0.0,0,0.24429615240321612,True,False
imagemagick,0.01,0.05,0.0,0.07268511240371009,0.15091307523739952,4857.938827988112,4683.8693395172095,292.893000333647,0.9979205306472372,0.46282150871741756,4.315553253927153e-05,0.129404614431916,0.129404614431916,8.488575344902518,8.452093305173094,5.683215756651452,1.4537022480742017,1,0.1377734622313773,True,False
imagemagick,0.01,0.1,0.0,0.13625216160980974,0.270854638422206,4857.938827988112,4683.8693395172095,292.893000333647,0.9979205306472372,0.46282150871741756,4.315553253927153e-05,0.129404614431916,0.129404614431916,8.488575344902518,8.452093305173094,5.683215756651452,1.3625216160980973,1,0.1377734622313773,True,False
imagemagick,0.01,0.2,0.0,0.17673321804747677,0.41119065010956907,4857.938827988112,4683.8693395172095,292.893000333647,0.9979205306472372,0.46282150871741756,4.315553253927153e-05,0.129404614431916,0.129404614431916,8.488575344902518,8.452093305173094,5.683215756651452,0.8836660902373838,1,0.1377734622313773,True,False
imagemagick,0.05,0.05,0.0,0.07268511240371009,0.18550766983199413,4857.938827988112,4683.8693395172095,292.893000333647,0.9979205306472372,0.46282150871741756,4.315553253927153e-05,0.129404614431916,0.129404614431916,8.488575344902518,8.452093305173094,5.683215756651452,1.4537022480742017,1,0.1377734622313773,True,False
imagemagick,0.05,0.1,0.0,0.13625216160980974,0.30544923301680055,4857.938827988112,4683.8693395172095,292.893000333647,0.9979205306472372,0.46282150871741756,4.315553253927153e-05,0.129404614431916,0.129404614431916,8.488575344902518,8.452093305173094,5.683215756651452,1.3625216160980973,1,0.1377734622313773,True,False
imagemagick,0.05,0.2,0.0,0.17673321804747677,0.4457852447041636,4857.938827988112,4683.8693395172095,292.893000333647,0.9979205306472372,0.46282150871741756,4.315553253927153e-05,0.129404614431916,0.129404614431916,8.488575344902518,8.452093305173094,5.683215756651452,0.8836660902373838,1,0.1377734622313773,True,False
imagemagick,0.1,0.05,0.0,0.07268511240371009,0.26968590211833454,4857.938827988112,4683.8693395172095,292.893000333647,0.9979205306472372,0.46282150871741756,4.315553253927153e-05,0.129404614431916,0.129404614431916,8.488575344902518,8.452093305173094,5.683215756651452,1.4537022480742017,1,0.1377734622313773,True,False
imagemagick,0.1,0.1,0.0,0.13625216160980974,0.38962746530314096,4857.938827988112,4683.8693395172095,292.893000333647,0.9979205306472372,0.46282150871741756,4.315553253927153e-05,0.129404614431916,0.129404614431916,8.488575344902518,8.452093305173094,5.683215756651452,1.3625216160980973,1,0.1377734622313773,True,False
