detector,target_group,seed,alpha_vulnerable,alpha_safe,method,near_duplicate_sensitivity,n,n_vulnerable,n_safe,vulnerable_miscoverage_count,safe_miscoverage_count,singleton_count,vulnerable_miscoverage,safe_miscoverage,singleton_coverage,vulnerable_singleton_rate,safe_singleton_rate,review_load,empty_rate,doubleton_rate,pr_auc,brier,ece_equal_mass_15,aurc,fnr_at_fpr_0_005,error_detection_auroc,precision,recall,f1,f2,mcc,vulnerable_signed_target_difference,safe_signed_target_difference,vulnerable_violation,safe_violation,absolute_target_difference_sum,max_relative_violation
hashing,linux,13,0.01,0.05,unweighted_mondrian,True,25498,1606,23892,255,228,7395,0.15877957658779576,0.009542943244600702,0.2900227468821084,0.18306351183063513,0.29721245605223506,0.7099772531178916,0.0,0.7099772531178916,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,0.14877957658779575,-0.040457056755399304,0.14877957658779575,0.0,0.18923663334319507,14.877957658779575
hashing,linux,13,0.01,0.05,estimated_weight_no_gate_clip_20,True,25498,1606,23892,50,853,2280,0.031133250311332503,0.03570232713879123,0.08941877794336811,0.10211706102117062,0.08856521011217144,0.910581222056632,0.0,0.910581222056632,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,0.0211332503113325,-0.014297672861208775,0.0211332503113325,0.0,0.035430923172541276,2.11332503113325
hashing,linux,13,0.01,0.05,vultriage_full_gate_clip_20,True,25498,1606,23892,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,-0.01,-0.05,0.0,0.0,0.060000000000000005,0.0
hashing,linux,13,0.01,0.1,unweighted_mondrian,True,25498,1606,23892,255,754,7985,0.15877957658779576,0.031558680729951445,0.3131618166130677,0.22291407222914073,0.3192281935375858,0.6868381833869323,0.0,0.6868381833869323,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,0.14877957658779575,-0.06844131927004857,0.14877957658779575,0.0,0.21722089585784432,14.877957658779575
hashing,linux,13,0.01,0.1,estimated_weight_no_gate_clip_20,True,25498,1606,23892,50,2050,3614,0.031133250311332503,0.08580277917294492,0.14173660679268962,0.18742216687422167,0.13866566214632514,0.8582633932073104,0.0,0.8582633932073104,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,0.0211332503113325,-0.014197220827055088,0.0211332503113325,0.0,0.03533047113838759,2.11332503113325
hashing,linux,13,0.01,0.1,vultriage_full_gate_clip_20,True,25498,1606,23892,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,-0.01,-0.1,0.0,0.0,0.11,0.0
hashing,linux,13,0.01,0.2,unweighted_mondrian,True,25498,1606,23892,255,2112,9496,0.15877957658779576,0.08839779005524862,0.372421366381677,0.3181818181818182,0.376067302862883,0.627578633618323,0.0,0.627578633618323,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,0.14877957658779575,-0.1116022099447514,0.14877957658779575,0.0,0.2603817865325472,14.877957658779575
hashing,linux,13,0.01,0.2,estimated_weight_no_gate_clip_20,True,25498,1606,23892,50,5002,6897,0.031133250311332503,0.20935878118198561,0.27049180327868855,0.39352428393524286,0.2622216641553658,0.7295081967213115,0.0,0.7295081967213115,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,0.0211332503113325,0.009358781181985604,0.0211332503113325,0.009358781181985604,0.030492031493318104,2.11332503113325
hashing,linux,13,0.01,0.2,vultriage_full_gate_clip_20,True,25498,1606,23892,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,-0.01,-0.2,0.0,0.0,0.21000000000000002,0.0
hashing,linux,13,0.05,0.05,unweighted_mondrian,True,25498,1606,23892,610,228,14246,0.37982565379825656,0.009542943244600702,0.5587104870970272,0.4041095890410959,0.5691026284948937,0.4412895129029728,0.0,0.4412895129029728,0.09711120055910362,0.11383593578453721,0.1310565220520643,0.06513070259749112,0.9850560398505604,0.7698130265826024,0.11040053853921239,0.20423412204234123,0.14332532226349137,0.17456093666844066,0.07088011029123824,0.32982565379825657,-0.040457056755399304,0.32982565379825657,0.0,0.37028271055365586,6.596513075965131
