detector,target_group,alpha_vulnerable,alpha_safe,method,vulnerable_violation,safe_violation,max_relative_violation,singleton_coverage,review_load,pr_auc,brier,f1,mcc
codebert,FreeRDP,0.01,0.05,estimated_weight_no_gate_clip_20,0.0,0.0,0.0,0.055180180180180186,0.9448198198198197,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.01,0.05,unweighted_mondrian,0.14957446808510638,0.0,14.957446808510635,0.24211711711711711,0.7578828828828829,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.01,0.05,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.055180180180180186,0.9448198198198197,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.01,0.1,estimated_weight_no_gate_clip_20,0.0,0.0,0.0,0.09234234234234234,0.9076576576576578,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.01,0.1,unweighted_mondrian,0.14957446808510638,0.0,14.957446808510635,0.27815315315315314,0.7218468468468469,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.01,0.1,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.09234234234234234,0.9076576576576578,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.01,0.2,estimated_weight_no_gate_clip_20,0.0,0.0,0.0,0.1768018018018018,0.8231981981981982,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.01,0.2,unweighted_mondrian,0.14957446808510638,0.0,14.957446808510635,0.34459459459459457,0.6554054054054054,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.01,0.2,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.1768018018018018,0.8231981981981982,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.05,0.05,estimated_weight_no_gate_clip_20,0.3648936170212766,0.0,7.29787234042553,0.5225225225225225,0.4774774774774775,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.05,0.05,unweighted_mondrian,0.37553191489361704,0.0,7.51063829787234,0.543918918918919,0.45608108108108103,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
