detector,target_group,supported,gate_probability,seed_addresses,max_relative_violation,singleton_coverage,severe_raw_violation
codebert,imagemagick,False,0.5775055989369065,5,1.1333333333333333,0.6883780332056194,True
codebert,mongo,False,0.9119486725722984,5,3.375,0.9859154929577464,True
codebert,FreeRDP,True,0.01282622529185926,5,4.035460992907801,0.7969387755102041,True
codebert,envoy,True,0.03639049825160959,5,1.795275590551181,0.6111957349581112,True
codebert,ffmpeg,True,1.675111133066951e-08,5,0.6762672811059908,0.7100712105798576,True
codebert,ghostpdl,True,2.2877352657432004e-08,5,1.6605504587155964,0.6978798586572438,True
codebert,jasper,True,2.0355707390294627e-05,5,0.921182266009852,0.7680921052631579,True
codebert,krb5,True,9.473218012363783e-15,5,0.694915254237288,0.670061099796334,True
codebert,librsvg,True,5.985196078108645e-05,5,5.842105263157895,0.7791044776119403,True
codebert,libtpms,True,2.989985403351007e-05,5,1.201834862385321,0.436734693877551,True
codebert,libxml2,True,0.0003932104839938418,5,0.6176470588235294,0.7009708737864078,True
codebert,linux,True,0.17943951118055518,5,1.9254617414248016,0.713027634375949,True
codebert,mysql-server,True,1.6047266048760345e-08,5,0.7605633802816899,0.8238665971860344,True
codebert,net,True,2.6048852451844773e-09,5,0.0344827586206895,0.6961325966850829,False
codebert,openssl,True,1.5413468606547608e-06,5,0.929203539823009,0.7309283088235294,True
codebert,php,True,3.561857952368496e-11,5,1.2662889518413596,0.7706013363028953,True
codebert,postgres,True,0.048906881325965296,5,0.179110567115463,0.7677543186180422,False
codebert,qemu,True,0.002260269864494218,5,3.674556213017751,0.8356112376613517,True
codebert,qpdf,True,6.0057788590897916e-05,5,2.8602941176470584,0.8404255319148938,True
codebert,radare2,True,4.85881461755123e-05,5,2.8095238095238093,0.7763975155279503,True
codebert,samba,True,6.05189582223665e-08,5,1.222222222222222,0.7185109637939827,True
codebert,tcpdump,True,1.0917453189471963e-09,5,2.827751196172249,0.6658878504672897,True
codebert,tensorflow,True,0.0009236238832053864,5,0.335417597141581,0.7736271946208443,False
codebert,vim,True,3.826790552957247e-06,5,2.0172413793103448,0.7670157068062827,True
hashing,envoy,False,0.9826077878751412,5,0.6692913385826772,0.4258568164508758,True
hashing,ffmpeg,False,0.6312064557241762,5,0.3294930875576036,0.5086469989827059,False
hashing,ghostpdl,False,0.9458132896379231,5,1.055045871559633,0.602826855123675,True
hashing,imagemagick,False,0.9100319972692033,5,0.670807453416149,0.5371647509578544,True
hashing,krb5,False,0.841794187432925,5,0.6610169491525423,0.5458248472505092,True
hashing,librsvg,False,0.5347645258655594,5,2.557894736842105,0.508955223880597,True
hashing,libxml2,False,0.9779674049816991,5,0.475051975051975,0.5679611650485437,False
hashing,linux,False,0.5794630588932216,5,0.5623019762354714,0.564190707561494,True
hashing,mongo,False,0.6738641304084289,5,1.2499999999999998,0.504225352112676,True
hashing,qemu,False,0.6227350401217142,5,1.1242603550295855,0.6245254365983295,True
hashing,qpdf,False,0.9943617151077028,5,0.6691176470588235,0.6071668533034714,True
hashing,FreeRDP,True,0.1716465957988095,5,0.1219858156028368,0.3910204081632652,False
hashing,jasper,True,0.4668152955998063,5,0.1185185185185184,0.5108552631578946,False
hashing,libtpms,True,0.38668100575483383,5,0.0,0.1644897959183673,False
hashing,mysql-server,True,0.1601796641582453,5,0.067099567099567,0.6953100573215216,False
hashing,net,True,0.10974551967785033,5,0.0068965517241379,0.6203314917127072,False
hashing,openssl,True,0.13637463933431082,5,0.4916820702402956,0.6833639705882353,False
hashing,php,True,0.02822485783977834,5,0.4447592067988668,0.5631403118040089,False
hashing,postgres,True,0.03921274164494377,5,0.1605652609324578,0.6579654510556623,False
hashing,radare2,True,0.10375445715032872,5,0.1415857605177992,0.4403726708074534,False
hashing,samba,True,0.3725660120358611,5,0.0,0.485874553799082,False
hashing,tcpdump,True,0.30007456567070745,5,1.0639269406392693,0.4771028037383177,True
hashing,tensorflow,True,0.1559409613405267,5,0.0117016525234479,0.3991034740381023,False
hashing,vim,True,0.28086704879597835,5,0.5172413793103448,0.5087041884816753,True
