detector,fraction,method,projects,max_relative_violation_q25,max_relative_violation_median,max_relative_violation_q75,singleton_coverage_q25,singleton_coverage_median,singleton_coverage_q75
codebert,0.25,estimated_weight_no_gate_clip_20,24,0.6319325368012255,1.2898234909566355,2.2523200224971878,0.6633549439729353,0.7300857219795345,0.7594587400177462
codebert,0.25,unweighted_mondrian,24,0.8511274093829554,1.2701198548825192,2.2134978991596634,0.7434110033229713,0.7647767042270477,0.7896099237772708
codebert,0.5,estimated_weight_no_gate_clip_20,24,0.7130184331797235,1.2961249577669776,2.364583333333333,0.6789305585381568,0.732632716354296,0.7726949105404652
codebert,0.5,unweighted_mondrian,24,0.8433931385622498,1.2242482952494917,2.1756827731092434,0.7389523924262424,0.758583819476178,0.7842134977540172
codebert,0.75,estimated_weight_no_gate_clip_20,24,0.7460204777049391,1.294597349643221,2.8051663249031673,0.6867045565468637,0.7534051819634091,0.7842151234063419
codebert,0.75,unweighted_mondrian,24,0.8573220996484421,1.2185262083648583,2.217174369747899,0.7382904000722853,0.7635472135770137,0.7884602661444313
codebert,1.0,estimated_weight_no_gate_clip_20,24,0.7441513487705894,1.2442555870317908,2.8140806561859186,0.6974430431642036,0.7489720078149061,0.7770742560489479
codebert,1.0,unweighted_mondrian,24,0.8687113589526002,1.2383562366934702,2.1525735294117645,0.7391491600184537,0.7680339319368931,0.792038422768907
hashing,0.25,estimated_weight_no_gate_clip_20,24,0.00127070323106155,0.0991836734693877,0.15426535410128842,0.3117803248723393,0.35495792689462957,0.4136286768933217
hashing,0.25,unweighted_mondrian,24,0.7796673411574261,1.2708139583595157,2.066686097347712,0.6722834058116246,0.6942514616746231,0.7274609823003246
hashing,0.5,estimated_weight_no_gate_clip_20,24,0.06798403580303813,0.12479163282953559,0.3097675826252205,0.3688061555576156,0.4084511249650321,0.45997449312154787
hashing,0.5,unweighted_mondrian,24,0.7288305385955343,1.2144066021532403,1.9466870688817643,0.6612936860917507,0.6793175541216909,0.7129292597502013
hashing,0.75,estimated_weight_no_gate_clip_20,24,0.09483141323181098,0.2819336776103145,0.5173158458742952,0.40879401130991005,0.47595341754665055,0.5559042394777723
hashing,0.75,unweighted_mondrian,24,0.7612705646367426,1.2249591554606005,2.0166180899640533,0.6702462499671478,0.6888822695551032,0.7218505361401868
hashing,1.0,estimated_weight_no_gate_clip_20,24,0.12111899133175712,0.4833670226461353,0.6696703672910451,0.48368161628389095,0.5240100070578746,0.6039118546686241
hashing,1.0,unweighted_mondrian,24,0.7831685816339098,1.2423861589376228,2.0812688234722625,0.6770432216972296,0.6969124382087817,0.7303612222419433
