domain,detector,projects,units,severe_prevalence,auroc,auprc,support_pass_projects,pass_minus_fail_median,ci_lower,ci_upper
PrimeVul development,frozen gate,12,108,0.2777777777777778,0.35,0.2451989716074223,,,,
DiverseVul external,hashing,24,24,0.4583333333333333,0.8601398601398602,0.8173274957365867,13.0,-0.5473055229798404,-1.005741836511067,-0.2243584402599566
DiverseVul external,codebert,24,24,0.875,0.4285714285714286,0.8732815591871801,22.0,-1.0099110796348756,-2.449807097083569,0.7270353326546579
