metric,projects,codebert_minus_hashing_median,q25,q75,bootstrap_ci_lower,bootstrap_ci_upper,codebert_wins,ties,hashing_wins,bootstrap_replicates
pr_auc,24,0.004904768608492996,-0.018297224738587706,0.02097004565977515,-0.0129740061184236,0.0163990584191403,13,0,11,10000
f1,24,0.0075490982812896346,-0.012020227765782703,0.03658211633579537,-0.011220897828553122,0.026977083262554213,15,0,9,10000
mcc,24,0.00987487855890265,-0.007009758923330313,0.03946123354064955,-0.00044885718468801183,0.03306707798355779,16,0,8,10000
brier,24,0.005234657494528144,-0.006930163469643667,0.02656275741825205,-0.0021623749392243596,0.022474812023514507,15,0,9,10000
error_detection_auroc,24,0.025830455319856838,-0.0024029785399342363,0.056972586029593236,0.003940605119940654,0.03886448312099677,17,0,7,10000
